cle;Respondent_ID;weight;A11;A12;A13;A14;A4;A5;A5bis;A8_1_slice;A8_2_slice;A8_3_slice;A8_4_slice;B1_1_slice;B1_2_slice;B2_1_slice;B2_2_slice;B3;B4;B6;C1_1_slice;C1_2_slice;C1_3_slice;C1_4_slice;C1_5_slice;C1_6_slice;C1_7_slice;C1_8_slice;C1_9_slice;A9_1_slice;A9_2_slice;A9_3_slice;A9_4_slice;A9_5_slice;A9_6_slice;A9_7_slice;A9_8_slice;A9_9_slice;A9_10_slice;A9_11_slice;A9_12_slice;A9_13_slice;A9_14_slice;A9_15_slice;A9_16_slice;A10_1_slice;A10_2_slice;A10_3_slice;A10_4_slice;A10_5_slice;A10_6_slice;A10_7_slice;A10_8_slice;A11_1_slice;A11_2_slice;A11_3_slice;A11_4_slice;A11_5_slice;A11_6_slice;A11_7_slice;A11_8_slice;A11_9_slice;A11_10_slice;A11_11_slice;A11_12_slice;A11_13_slice;A1bis;A2;A6_1_slice;A6_2_slice;A6_3_slice;A6_4_slice;A6_5_slice;A6_6_slice;A7;B5_1_slice;B5_2_slice;B5_3_slice;B5_4_slice;B5_5_slice;B5_6_slice;C201;C202;C203;C204;C205;C206;C207;C208;C209;C210;C211;C212;C213;C214;C215;C216;C217;C218;C219;C220;C301;C302;C303;C304;C305;C306;C307;C308;C309;C310;C311;C4_1_slice;C4_2_slice;C4_3_slice;C4_4_slice;rs3;rs5;rs6;RS1;RS191;RS192;RS193;RS102RECAP;rs11recap2;RS11recap;RS193bis;RS2Recap;RS56Recap;RS2;RS11;RS102
21;MET20_80000221;0.8422381464;1;1;1;0;1;3;;5;10;3;1;4;4;4;4;3;4;3;4;4;4;5;4;5;4;4;4;2;2;2;2;2;3;2;2;2;2;2;3;3;2;2;3;3;2;2;2;2;2;2;2;2;2;2;3;2;2;2;2;2;2;2;3;2;1;1;40;20;10;10;20;0;5;2;4;4;3;4;4;1;0;1;0;1;0;1;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;1;1;1;0;6;6;6;6;1;1;9;2;1;2;2;4;1;2;;4;2;49;0;5
22;MET20_7003975;1.1614861152;1;0;0;0;1;1;;1;0;5;0;4;4;4;4;4;4;4;5;5;5;5;5;5;5;5;5;4;4;4;4;3;2;4;4;2;4;3;4;4;2;4;4;4;2;2;4;4;2;4;4;2;2;4;2;2;2;2;4;2;4;4;4;4;1;1;65;0;0;20;15;0;25;4;4;4;4;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;;;;;;;;;;;;7;7;7;7;1;3;;1;1;2;1;2;1;2;1;5;3;61;0;2
23;MET20_253585;0.6182996491;1;0;0;0;1;2;;1;2;1;0;4;4;4;4;4;4;3;5;5;5;5;5;5;5;5;5;2;3;3;4;4;1;2;3;2;3;1;4;4;1;2;3;1;1;1;2;1;2;1;2;1;1;1;3;2;2;1;1;2;1;2;1;1;1;1;60;0;20;0;0;20;0;4;4;4;4;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;;;;;;;;;;;;7;7;6;7;1;1;4;2;1;2;2;2;1;2;;4;1;51;0;2
24;MET20_7002950;1.0564869918;0;1;0;0;2;;2;1;0;0;0;4;4;4;4;4;4;2;5;5;5;3;5;5;5;5;5;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;0;0;0;0;100;1;4;4;4;4;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;;;;;;;;;;;;7;7;7;7;1;1;7;2;2;2;2;4;3;1;;2;1;27;2;4
25;MET20_1268635;0.4572221819;1;0;0;0;1;3;;1;1;2;2;4;4;3;3;3;3;4;5;5;5;5;5;5;5;5;5;2;2;3;3;3;1;2;3;3;3;3;2;4;1;1;4;2;1;2;1;1;2;1;3;1;2;2;2;3;1;2;3;2;3;2;2;2;1;1;60;10;5;5;5;15;20;1;4;4;3;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;;;;;;;;;;;;7;7;7;7;2;1;4;2;1;2;1;2;1;2;1;5;1;58;0;2
26;MET20_652272;0.9643085747;1;1;0;0;1;2;;1;1;2;0;4;4;4;4;3;4;3;4;4;5;5;5;5;5;4;4;2;2;2;2;3;2;4;2;3;2;2;2;3;2;2;3;1;1;2;2;2;2;1;3;2;2;2;2;1;2;1;2;2;2;3;1;2;1;2;90;0;4;1;0;5;10;3;3;4;3;2;3;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;1;0;7;7;7;7;1;3;;1;2;2;1;2;1;2;1;6;3;67;0;2
27;MET20_7007952;1.2758879289;1;1;1;0;3;;1;12;20;15;1;3;3;2;3;3;2;2;4;4;4;4;4;5;4;4;4;1;2;2;2;1;1;1;1;1;1;1;2;2;1;1;1;1;1;3;2;1;4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;3;3;75;0;15;5;;5;10;2;3;3;3;2;3;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;6;6;7;7;1;7;;1;2;1;2;3;1;2;;5;3;61;0;3
28;MET20_80006958;2.9605391895;1;0;1;0;1;1;;1;3;1;0;3;3;2;2;3;1;4;5;5;5;4;4;4;4;5;5;2;3;3;3;3;2;2;3;2;3;2;3;3;2;3;2;1;2;2;2;2;3;2;2;1;2;2;3;2;2;1;2;2;2;2;1;2;1;1;80;0;0;0;20;0;0;4;4;4;4;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;;;;;;;;;;;;4;2;2;6;1;1;9;2;1;1;2;4;1;2;;1;2;24;0;5
29;MET20_7007667;0.6841663427;0;0;1;0;3;;3;1;2;1;1;4;4;4;4;4;4;3;5;5;5;5;5;5;5;5;5;2;4;4;3;2;2;4;4;1;3;2;2;4;1;2;4;1;1;3;2;1;3;2;3;2;2;2;1;1;2;1;3;1;1;3;1;3;3;3;0;0;0;0;;100;30;4;4;4;4;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;;;;;;;;;;;;7;2;7;5;1;1;9;2;1;1;2;2;1;2;;5;2;60;0;2
30;MET20_80000279;0.8556566041;0;1;0;0;2;;1;1;1;1;1;4;4;4;4;3;3;4;5;5;5;5;5;5;5;5;5;2;3;4;4;4;2;1;3;2;2;1;4;3;2;2;4;1;1;2;1;1;4;4;2;1;2;1;2;1;2;1;1;2;1;1;2;2;2;1;0;100;0;0;0;0;0;3;4;3;4;4;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;;;;;;;;;;;;7;7;7;7;1;1;9;2;2;1;2;2;1;2;;4;2;49;0;2
